timestamp,story_id,token_count,reason
2026-01-02T23:27:07.872514,1951_01_05,3199,Exceeds token limit
2026-01-02T23:27:07.885723,1951_01_06,1755,Exceeds token limit
2026-01-02T23:27:07.914144,1951_01_07,1728,Exceeds token limit
2026-01-02T23:27:07.953031,1951_01_08,2658,Exceeds token limit
2026-01-02T23:27:07.960867,1951_01_09,1232,Exceeds token limit
2026-01-02T23:27:08.006715,1951_01_10,2216,Exceeds token limit
2026-01-02T23:27:08.010366,1951_01_11,876,Exceeds token limit
2026-01-02T23:27:08.015532,1951_01_14,691,Exceeds token limit
2026-01-02T23:27:08.767829,1951_02_04,1717,Exceeds token limit
2026-01-02T23:27:08.781999,1951_02_05,2767,Exceeds token limit
2026-01-02T23:27:08.788612,1951_02_06,1738,Exceeds token limit
2026-01-02T23:27:08.801763,1951_02_07,1742,Exceeds token limit
2026-01-02T23:27:08.822274,1951_02_08,2247,Exceeds token limit
2026-01-02T23:27:08.826571,1951_02_09,1268,Exceeds token limit
2026-01-02T23:27:08.837376,1951_02_10,2117,Exceeds token limit
2026-01-02T23:27:08.839747,1951_02_11,898,Exceeds token limit
2026-01-02T23:27:08.847868,1951_02_14,600,Exceeds token limit
2026-01-02T23:27:08.851144,1951_02_15,572,Exceeds token limit
2026-01-02T23:27:09.392402,1951_03_04,640,Exceeds token limit
2026-01-02T23:27:09.398787,1951_03_06,870,Exceeds token limit
2026-01-02T23:27:09.406351,1951_03_09,639,Exceeds token limit
2026-01-02T23:27:11.153395,1951_04_01,927,Exceeds token limit
2026-01-02T23:27:11.182339,1951_04_03,2258,Exceeds token limit
2026-01-02T23:27:11.232026,1951_04_04,2729,Exceeds token limit
2026-01-02T23:27:11.275504,1951_04_05,2225,Exceeds token limit
2026-01-02T23:27:11.295760,1951_04_06,1839,Exceeds token limit
2026-01-02T23:27:11.316476,1951_04_07,3503,Exceeds token limit
2026-01-02T23:27:11.338066,1951_04_08,1795,Exceeds token limit
2026-01-02T23:27:11.352799,1951_04_09,1790,Exceeds token limit
2026-01-02T23:27:11.357411,1951_04_10,887,Exceeds token limit
2026-01-02T23:27:11.951347,1951_04_11,1100,Exceeds token limit
2026-01-02T23:27:13.343212,1951_05_03,2218,Exceeds token limit
2026-01-02T23:27:13.364340,1951_05_04,3699,Exceeds token limit
2026-01-02T23:27:13.374911,1951_05_05,2062,Exceeds token limit
